,open,high,low,close,results
2003-04-02,1.0886,1.0889,1.0734,1.0774,2
2003-04-03,1.0773,1.0794,1.069,1.0737,2
2003-04-04,1.0736,1.0752,1.0686,1.0733,2
2003-04-06,1.0694,1.0694,1.0643,1.0644,1
2003-04-07,1.0646,1.0706,1.0563,1.0654,1
2003-04-08,1.0655,1.0756,1.0655,1.0746,1
2003-04-09,1.0745,1.0794,1.0677,1.0781,1
2003-04-10,1.078,1.0832,1.0762,1.0782,1
2003-04-11,1.0783,1.0787,1.0696,1.0755,1
2003-04-13,1.0746,1.0759999999999998,1.0719,1.0754,1
2003-04-14,1.0753,1.0815,1.0728,1.0773,1
2003-04-15,1.0772,1.0822,1.0738,1.0802,1
2003-04-16,1.0803,1.0979,1.08,1.0954,2
2003-04-17,1.0953,1.0961,1.0867,1.0891,1
2003-04-18,1.0892,1.0899,1.0877,1.0885,1
2003-04-20,1.0901,1.0903,1.089,1.0897,1
2003-04-21,1.0895,1.0905,1.0824,1.0861,1
2003-04-22,1.0859,1.1006,1.0856,1.0967,1
2003-04-23,1.0966,1.0985,1.0924,1.0963,1
2003-04-24,1.0964,1.105,1.0963,1.1031,1
2003-04-25,1.103,1.1053,1.0964,1.1039,1
2003-04-27,1.104,1.1076,1.103,1.1054,1
2003-04-28,1.1053,1.1079999999999999,1.0977,1.0994,1
2003-04-29,1.0993,1.114,1.0937,1.1114,1
2003-04-30,1.1115,1.119,1.1101,1.1175,1
2003-05-01,1.1174,1.1288,1.1156,1.124,1
2003-05-02,1.1241,1.1273,1.1189,1.1229,1
2003-05-04,1.1234,1.1235,1.1212,1.1218,1
2003-05-05,1.1217,1.1307,1.1206,1.129,1
2003-05-06,1.1289,1.1457,1.1283,1.1419,1
2003-05-07,1.1421,1.1432,1.1320000000000001,1.1320000000000001,1
2003-05-08,1.1321,1.1540000000000001,1.1311,1.1525,2
2003-05-09,1.1526,1.1535,1.1442,1.1491,1
2003-05-11,1.153,1.1579,1.1527,1.1577,2
2003-05-12,1.1576,1.1626,1.1465,1.1498,2
2003-05-13,1.15,1.1562,1.1475,1.1516,2
2003-05-14,1.1515,1.1539,1.1423,1.1449,1
2003-05-15,1.1448,1.1489,1.1373,1.1412,1
2003-05-16,1.1411,1.1597,1.1389,1.159,1
2003-05-18,1.1688,1.1714,1.1645,1.1698,1
2003-05-19,1.1699,1.1741,1.1623,1.1657,1
2003-05-20,1.1656,1.1745,1.1608,1.1719,1
2003-05-21,1.1718,1.1747,1.1627,1.165,1
2003-05-22,1.1651,1.1732,1.1621,1.1681,1
2003-05-23,1.1679,1.1821,1.167,1.181,1
2003-05-25,1.1832,1.1841,1.181,1.1822,1
2003-05-26,1.1823,1.19,1.1802,1.1891,2
2003-05-27,1.1892,1.1938,1.1814,1.1838,2
2003-05-28,1.1837,1.1848,1.171,1.1747,1
2003-05-29,1.1746,1.1917,1.1694,1.1877,2
2003-05-30,1.1876,1.1893,1.1745,1.1773,2
2003-06-01,1.1717,1.1732,1.1653,1.168,1
2003-06-02,1.1679,1.177,1.1662,1.1761,2
2003-06-03,1.1762,1.1781,1.1689,1.1732,1
2003-06-04,1.173,1.175,1.1634,1.166,1
2003-06-05,1.1661,1.1892,1.1646,1.185,2
2003-06-06,1.1851,1.1883,1.1687,1.1707,1
2003-06-08,1.1705,1.1714,1.1658,1.1708,1
2003-06-09,1.1709,1.1791,1.1672,1.1725,1
2003-06-10,1.1724,1.1744,1.1661,1.168,1
2003-06-11,1.1682,1.1785,1.1682,1.1763,1
2003-06-12,1.1762,1.1809,1.1707,1.1764,1
2003-06-13,1.1763,1.1879,1.1740000000000002,1.1862,2
2003-06-15,1.188,1.1903,1.1874,1.1879,2
2003-06-16,1.1878,1.1933,1.1818,1.1849,2
2003-06-17,1.1848,1.1869,1.1771,1.1797,2
2003-06-18,1.1798,1.1804,1.1584,1.1618,1
2003-06-19,1.1619,1.1744,1.1611,1.1728,2
2003-06-20,1.1727,1.1727,1.1554,1.1601,2
2003-06-22,1.1585,1.16,1.1540000000000001,1.1595,2
2003-06-23,1.1594,1.1608,1.151,1.1557,2
2003-06-24,1.1556,1.1585,1.1478,1.1519,1
2003-06-25,1.1520000000000001,1.1626,1.1498,1.1540000000000001,2
2003-06-26,1.1541,1.1541,1.1418,1.1453,1
2003-06-27,1.1454,1.1471,1.1401,1.1434,1
2003-06-29,1.1440000000000001,1.1442,1.1414,1.1438,1
2003-06-30,1.1439,1.1546,1.1403,1.1518,2
2003-07-01,1.1517,1.1612,1.151,1.1551,2
2003-07-02,1.155,1.1563,1.1509,1.1524,2
2003-07-03,1.1522,1.1544,1.1435,1.1472,2
2003-07-04,1.1473,1.1492,1.1451,1.1484,2
2003-07-06,1.1484,1.149,1.1455,1.146,2
2003-07-07,1.1459,1.1467,1.131,1.1324,2
2003-07-08,1.1324,1.1354,1.126,1.1323,2
2003-07-09,1.1323,1.137,1.1312,1.1338,2
2003-07-10,1.1338,1.1395,1.1299,1.1315,2
2003-07-11,1.1315,1.1347,1.1279,1.1296,2
2003-07-13,1.13,1.1303,1.1268,1.1274,2
2003-07-14,1.1273,1.1311,1.1244,1.126,2
2003-07-15,1.126,1.1339,1.1115,1.1153,1
2003-07-16,1.1153,1.1236,1.1123,1.1221,1
2003-07-17,1.122,1.127,1.1159,1.1239,1
2003-07-18,1.1239,1.131,1.1176,1.1274,1
2003-07-20,1.1268,1.1296,1.1245,1.129,1
2003-07-21,1.129,1.1361,1.126,1.1326,1
2003-07-22,1.1326,1.1375,1.1316,1.1355,1
2003-07-23,1.1354,1.1495,1.1354,1.1482,2
2003-07-24,1.1482,1.1513,1.1425,1.1466,2
2003-07-25,1.1466,1.1552,1.1448,1.1511,2
2003-07-27,1.148,1.1508,1.1469,1.1477,2
2003-07-28,1.1477,1.1520000000000001,1.1455,1.1506,2
2003-07-29,1.1506,1.1541,1.1434,1.1447,2
2003-07-30,1.1447,1.1454,1.1334,1.1339,2
2003-07-31,1.1340000000000001,1.1348,1.1226,1.1241,2
2003-08-01,1.1241,1.1276,1.1137,1.1272,1
2003-08-03,1.1288,1.1292,1.1263,1.127,1
2003-08-04,1.127,1.1378,1.1265,1.1357,2
2003-08-05,1.1357,1.1412,1.131,1.1404,2
2003-08-06,1.1404,1.1428,1.1329,1.1333,2
2003-08-07,1.1333,1.1418,1.1323,1.1362,2
2003-08-08,1.1362,1.1381,1.1291,1.1307,2
2003-08-10,1.1305,1.131,1.127,1.1278,1
2003-08-11,1.1278,1.1382,1.1267,1.136,2
